scrutin_id,fecha,fecha_iso,sort,amendement_num,sous_amendement_num,es_sous_amendement,es_suppression,es_redaction_globale,es_identiques,demandeur,article_ref,ley_tipo,ley_titulo_corto,dossier_ref,titulo_scrutin
3986,2021-10-07,2021-10-07,adopté,14,,0,1,0,0,Mme Cloarec-Le Nabour,3,proposition de loi,visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap,,l'amendement de suppression n° 14 de Mme Cloarec-Le Nabour à l'article 3 de la proposition de loi visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap (première lecture).
3987,2021-10-07,2021-10-07,adopté,15,,0,1,0,0,Mme Cloarec-Le Nabour,4,proposition de loi,visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap,,l'amendement de suppression n° 15 de Mme Cloarec-Le Nabour à l'article 4 de la proposition de loi visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap (première lecture).
3988,2021-10-07,2021-10-07,adopté,16,,0,1,0,0,Mme Cloarec-Le Nabour,5,proposition de loi,visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap,,l'amendement de suppression n° 16 de Mme Cloarec-Le Nabour à l'article 5 de la proposition de loi visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap (première lecture).
3989,2021-10-07,2021-10-07,adopté,17,,0,1,0,0,Mme Cloarec-Le Nabour,6,proposition de loi,visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap,,l'amendement de suppression n° 17 de Mme Cloarec-Le Nabour à l'article 6 de la proposition de loi visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap (première lecture).
399,2018-02-14,2018-02-14,rejeté,106,,0,0,0,0,,,projet de loi,relatif à l'élection des représentants au Parlement européen,,l'amendement n° 106 de Mme Le Grip après l'article 6 du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3990,2021-10-07,2021-10-07,adopté,18,,0,1,0,0,Mme Cloarec-Le Nabour,7,proposition de loi,visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap,,l'amendement de suppression n° 18 de Mme Cloarec-Le Nabour à l'article 7 de la proposition de loi visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap (première lecture).
3992,2021-10-07,2021-10-07,adopté,46,,0,1,0,1,M. Perea et l'amendement identique suivant,2,proposition de loi,visant à raisonner le développement de l'éolien,,l'amendement de suppression n° 46 de M. Perea et l'amendement identique suivant à l'article 2 de la proposition de loi visant à raisonner le développement de l'éolien (première lecture).
3993,2021-10-07,2021-10-07,adopté,47,,0,1,0,0,M. Perea,3,proposition de loi,visant à raisonner le développement de l'éolien,,l'amendement de suppression n° 47 de M. Perea à l'article 3 de la proposition de loi visant à raisonner le développement de l'éolien (première lecture).
3994,2021-10-07,2021-10-07,rejeté,3,,0,0,0,0,Mme Blin,premier,proposition de loi,visant à créer un ticket restaurant étudiant,,l'amendement n° 3 de Mme Blin à l'article premier de la proposition de loi visant à créer un ticket restaurant étudiant (première lecture).
3998,2021-10-11,2021-10-11,rejeté,828,,0,0,0,0,Mme Rabault,liminaire,projet de loi,de finances pour 2022,,l'amendement n° 828 de Mme Rabault à l'article liminaire du projet de loi de finances pour 2022 (première lecture).
3999,2021-10-11,2021-10-11,rejeté,2046,,0,0,0,0,Mme Bergé,3,projet de loi,de finances pour 2022,,l'amendement n° 2046 de Mme Bergé à l'article 3 du projet de loi de finances pour 2022 (première lecture).
